author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
БЭЛ Девелопмент,developer,https://www.cian.ru/sale/flat/303377181/,Москва,sale,flat,3,6,2,38.7,-1,0,38313000.0,Тверской,Долгоруковская ,25к2,Новослободская,Долгоруковская 25
ID 108172779,real_estate_agent,https://www.cian.ru/sale/flat/301496936/,Москва,sale,flat,7,8,1,53.2,-1,0,58786000.0,Таганский,Славянская площадь,2/5с1,Китай-город,LUMIN
VESPER,developer,https://www.cian.ru/sale/flat/262519758/,Москва,sale,flat,5,21,2,110.6,-1,0,103787040.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/302081797/,Москва,sale,flat,2,10,2,69.4,-1,0,85000000.0,Тверской, Палиха,4,Менделеевская,Клубный дом Maison Rouge
EraOneHolding,developer,https://www.cian.ru/sale/flat/280427150/,Москва,sale,flat,3,5,2,178.6,-1,0,150400000.0,Арбат, Арбат,39,Смоленская,Artisan
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/301677357/,Москва,sale,flat,32,51,4,108.4,-1,0,84500000.0,Раменки,Мичуринский проспект,56,Раменки,"Небо — Небоскребы на Мичуринском, 56"
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040442/,Москва,sale,flat,2,6,2,102.4,-1,0,98201600.0,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов 
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/303126859/,Москва,sale,flat,7,15,4,105.0,-1,0,88500000.0,Раменки,Винницкая ,8к3,Раменки,Настоящее
Главстрой,developer,https://www.cian.ru/sale/flat/296921240/,Москва,sale,flat,3,26,2,65.8,-1,0,27526142.0,Филевский парк,Береговой проезд,2,Народное Ополчение,Береговой-2
Life Style,real_estate_agent,https://www.cian.ru/sale/flat/294212104/,Москва,sale,flat,34,78,2,76.1,-1,0,62000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
VESPER,developer,https://www.cian.ru/sale/flat/286258299/,Москва,sale,flat,5,9,2,104.2,-1,0,143796000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
