author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Главстрой Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/304286516/,Санкт-Петербург,sale,flat,3,23,1,32.62,-1,0,6837267.0,Приморский, Ивинская,1к2,Комендантский проспект,Юнтолово
Школа Недвижимости,real_estate_agent,https://spb.cian.ru/sale/flat/304400451/,Санкт-Петербург,sale,flat,23,23,3,92.0,-1,0,29990000.0,Невский,проспект Обуховской обороны,195,Пролетарская,Дом-Мегалит на Неве
RAUKTIS CITY APARTMENTS,real_estate_agent,https://spb.cian.ru/sale/flat/304645135/,Санкт-Петербург,sale,flat,3,4,2,52.5,-1,0,8500000.0,Адмиралтейский,Лермонтовский проспект,10/53,Садовая,
Главстрой Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/304286526/,Санкт-Петербург,sale,flat,6,23,2,50.14,-1,0,9722427.0,Приморский, Ивинская,1к2,Комендантский проспект,Юнтолово
Школа Недвижимости,real_estate_agent,https://spb.cian.ru/sale/flat/302465350/,Санкт-Петербург,sale,flat,5,6,4,117.0,-1,0,74900000.0,Петроградский, Блохина,6/3,Спортивная,
ID 16193879,homeowner,https://spb.cian.ru/sale/flat/302133744/,Санкт-Петербург,sale,flat,8,9,2,44.5,-1,0,9700000.0,Калининский, Софьи Ковалевской,10К2,Академическая,
GloraX,developer,https://spb.cian.ru/sale/flat/279352014/,Санкт-Петербург,sale,flat,12,14,1,38.8,-1,0,14649999.0,Красногвардейский,проспект Энергетиков,2к1,,GloraX Заневский
Школа Недвижимости,real_estate_agent,https://spb.cian.ru/sale/flat/303856859/,Санкт-Петербург,sale,flat,9,9,5,160.0,-1,0,79900000.0,Московский,Московский проспект,72к2,Фрунзенская,ID Moskovskiy
Владис Центральный,real_estate_agent,https://spb.cian.ru/sale/flat/301557585/,Санкт-Петербург,sale,flat,5,5,1,35.0,-1,0,6850000.0,Петроградский,Саблинская ,3,Горьковская,
ПИК,developer,https://spb.cian.ru/sale/flat/293408455/,Санкт-Петербург,sale,flat,2,9,1,35.8,-1,0,14076631.0,Адмиралтейский,Измайловское,к 2.1,Балтийская,Лермонтовский 54 ЖК
