iter	MultiClass
0	1.653836759
1	1.552143385
2	1.470194823
3	1.401817875
4	1.335225864
5	1.288344485
6	1.246148162
7	1.207129179
8	1.176709907
9	1.150774952
10	1.120840138
11	1.098594076
12	1.078134805
13	1.063295999
14	1.04698962
15	1.035642533
16	1.023309322
17	1.012022999
18	1.002740289
19	0.9909096131
20	0.9818955342
21	0.9757815908
22	0.9687163039
23	0.9620789999
24	0.9526859133
25	0.9462355283
26	0.9408895161
27	0.9359498053
28	0.9336936328
29	0.9288101294
30	0.92476824
31	0.920402298
32	0.9171078807
33	0.9136099974
34	0.9114708452
35	0.9077141754
36	0.9053072654
37	0.9022797941
38	0.8987882176
39	0.8954088537
40	0.8932086186
41	0.8889106964
42	0.8865852822
43	0.8837974994
44	0.88100487
45	0.8787598765
46	0.8760391623
47	0.8737478511
48	0.8715685514
49	0.86995832
50	0.8679442279
51	0.867326602
52	0.8661007143
53	0.8646390871
54	0.8619864221
55	0.8601811974
56	0.85868634
57	0.8569533314
58	0.8554576672
59	0.8537332892
60	0.8517480374
61	0.8498556062
62	0.8471528498
63	0.8458904099
64	0.8431413407
65	0.8425508335
66	0.8407512626
67	0.8384001819
68	0.8367908188
69	0.8355443577
70	0.8343982784
71	0.8336587543
72	0.8331038686
73	0.8312882303
74	0.8299915835
75	0.8287269152
76	0.8281272075
77	0.8266125532
78	0.8257857042
79	0.8247075019
80	0.824210782
81	0.8226204773
82	0.8196160738
83	0.8187075878
84	0.8161456546
85	0.8145956621
86	0.8138674461
87	0.8131363812
88	0.8117772625
89	0.8102471708
90	0.8096793152
91	0.8087949725
92	0.8078163832
93	0.8071733031
94	0.8042027221
95	0.8037624814
96	0.8028803832
97	0.8017164725
98	0.7997353341
99	0.7984292873
100	0.7976527617
101	0.7972165871
102	0.7952586805
103	0.794223023
104	0.7928290253
105	0.7907590604
106	0.7898968707
107	0.7886442738
108	0.7875221673
109	0.7866392978
110	0.7856701993
111	0.7849656066
112	0.7819122654
113	0.7816002644
114	0.7802448915
115	0.7789700665
116	0.7781653423
117	0.7771741431
118	0.7758810498
119	0.7737626714
120	0.7723341684
121	0.7708754578
122	0.7699043168
123	0.7695631503
124	0.7677799893
125	0.7664892229
126	0.7658397548
127	0.7648169247
128	0.7635497752
129	0.7617971395
130	0.7607637554
131	0.7601064412
132	0.7582814582
133	0.7552090984
134	0.7540819865
135	0.7533624325
136	0.7516218923
137	0.7511552212
138	0.7509853767
139	0.749800411
140	0.748169729
141	0.7466821162
142	0.7449077179
143	0.7443293383
144	0.7434824969
145	0.742857292
146	0.742018729
147	0.7411616731
148	0.7402182603
149	0.7385955462
150	0.7381975516
151	0.737245886
152	0.7351248521
153	0.7346004014
154	0.7340474359
155	0.7319026115
156	0.7299227087
157	0.7283092076
158	0.7274884863
159	0.726205198
160	0.7255701712
161	0.7253021293
162	0.7245794803
163	0.7233773449
164	0.7227262225
165	0.7217245495
166	0.7205286577
167	0.719189514
168	0.7190240492
169	0.7178481464
170	0.71722022
171	0.7162800564
172	0.7155871174
173	0.7149484921
174	0.7138395225
175	0.7126381249
176	0.7117996429
177	0.7105917437
178	0.7092116183
179	0.7087150658
180	0.7078777213
181	0.707290439
182	0.7071226006
183	0.7063877991
184	0.7049284513
185	0.7037033519
186	0.7015496181
187	0.7000403776
188	0.6988408018
189	0.6972998677
190	0.6955863179
191	0.6949519851
192	0.6940964608
193	0.6933889333
194	0.6919957993
195	0.6913937787
196	0.6905623027
197	0.6893496733
198	0.6882378584
199	0.688124006
