iter	Passed	Remaining
0	2	580
1	4	480
2	6	440
3	8	393
4	9	366
5	11	357
6	12	354
7	14	337
8	15	333
9	16	319
10	17	307
11	19	298
12	20	296
13	21	289
14	23	284
15	24	279
16	25	274
17	26	269
18	28	268
19	30	272
20	31	271
21	33	269
22	34	266
23	35	263
24	37	264
25	39	262
26	40	259
27	41	256
28	43	255
29	44	254
30	46	255
31	48	253
32	49	249
33	50	246
34	51	245
35	53	243
36	54	240
37	55	237
38	57	235
39	58	233
40	59	231
41	60	228
42	61	226
43	63	225
44	65	224
45	66	222
46	67	220
47	69	219
48	70	216
49	71	214
50	72	211
51	73	209
52	74	207
53	75	205
54	77	203
55	78	201
56	79	199
57	80	198
58	82	196
59	84	196
60	86	196
61	87	194
62	88	193
63	89	191
64	91	189
65	92	187
66	93	185
67	94	183
68	96	182
69	98	182
70	100	182
71	101	180
72	102	178
73	106	181
74	110	183
75	128	210
76	133	213
77	137	214
78	140	215
79	146	219
80	149	220
81	151	218
82	154	217
83	156	215
84	157	212
85	159	211
86	162	211
87	164	209
88	165	206
89	167	204
90	169	203
91	174	204
92	176	203
93	179	202
94	181	200
95	183	198
96	184	196
97	186	194
98	188	192
99	189	189
100	190	186
101	192	184
102	193	182
103	195	180
104	196	177
105	197	175
106	198	172
107	200	170
108	201	168
109	202	165
110	203	163
111	204	161
112	206	158
113	207	156
114	208	154
115	210	152
116	211	150
117	212	147
118	214	145
119	215	143
120	216	141
121	218	139
122	219	137
123	220	135
124	221	133
125	223	131
126	224	129
127	226	127
128	227	125
129	228	123
130	229	121
131	231	119
132	232	116
133	233	114
134	234	112
135	235	110
136	236	108
137	237	106
138	238	104
139	240	102
140	242	101
141	243	99
142	244	97
143	245	95
144	247	93
145	248	92
146	250	90
147	252	88
148	254	87
149	255	85
150	258	83
151	260	82
152	262	80
153	263	78
154	264	76
155	265	74
156	266	73
157	267	71
158	269	69
159	270	67
160	271	65
161	273	64
162	274	62
163	275	60
164	277	58
165	278	57
166	279	55
167	280	53
168	282	51
169	283	49
170	284	48
171	286	46
172	288	44
173	289	43
174	290	41
175	292	39
176	293	38
177	294	36
178	295	34
179	296	32
180	298	31
181	309	30
182	311	28
183	316	27
184	321	26
185	326	24
186	335	23
187	340	21
188	345	20
189	348	18
190	353	16
191	369	15
192	373	13
193	385	11
194	392	10
195	422	8
196	425	6
197	430	4
198	437	2
199	439	0
